id	label	model
879187	None	csebuetnlp/banglabert
316919	Profane	csebuetnlp/banglabert
916242	None	csebuetnlp/banglabert
786824	None	csebuetnlp/banglabert
47284	None	csebuetnlp/banglabert
51359	Abusive	csebuetnlp/banglabert
327639	None	csebuetnlp/banglabert
925152	Profane	csebuetnlp/banglabert
432602	None	csebuetnlp/banglabert
540917	Abusive	csebuetnlp/banglabert
259015	None	csebuetnlp/banglabert
119485	None	csebuetnlp/banglabert
629565	None	csebuetnlp/banglabert
223268	Political Hate	csebuetnlp/banglabert
91157	Political Hate	csebuetnlp/banglabert
123076	Abusive	csebuetnlp/banglabert
301408	None	csebuetnlp/banglabert
153221	None	csebuetnlp/banglabert
713730	None	csebuetnlp/banglabert
104093	Political Hate	csebuetnlp/banglabert
284969	Political Hate	csebuetnlp/banglabert
154146	None	csebuetnlp/banglabert
903474	None	csebuetnlp/banglabert
310847	Abusive	csebuetnlp/banglabert
618320	None	csebuetnlp/banglabert
219771	Abusive	csebuetnlp/banglabert
137796	None	csebuetnlp/banglabert
557214	Political Hate	csebuetnlp/banglabert
639414	None	csebuetnlp/banglabert
499556	Profane	csebuetnlp/banglabert
874903	None	csebuetnlp/banglabert
242561	Abusive	csebuetnlp/banglabert
170696	None	csebuetnlp/banglabert
400293	None	csebuetnlp/banglabert
345498	None	csebuetnlp/banglabert
682342	None	csebuetnlp/banglabert
103754	Abusive	csebuetnlp/banglabert
763773	None	csebuetnlp/banglabert
366364	None	csebuetnlp/banglabert
748942	None	csebuetnlp/banglabert
108952	None	csebuetnlp/banglabert
852650	Abusive	csebuetnlp/banglabert
638113	Profane	csebuetnlp/banglabert
788538	None	csebuetnlp/banglabert
677410	None	csebuetnlp/banglabert
194546	Abusive	csebuetnlp/banglabert
645529	Political Hate	csebuetnlp/banglabert
924142	None	csebuetnlp/banglabert
69380	Political Hate	csebuetnlp/banglabert
748478	None	csebuetnlp/banglabert
645018	Abusive	csebuetnlp/banglabert
295794	None	csebuetnlp/banglabert
63426	Abusive	csebuetnlp/banglabert
63116	Profane	csebuetnlp/banglabert
551400	None	csebuetnlp/banglabert
835607	Abusive	csebuetnlp/banglabert
103869	None	csebuetnlp/banglabert
562502	None	csebuetnlp/banglabert
472928	None	csebuetnlp/banglabert
319508	None	csebuetnlp/banglabert
545961	None	csebuetnlp/banglabert
698843	None	csebuetnlp/banglabert
590762	None	csebuetnlp/banglabert
878482	None	csebuetnlp/banglabert
451314	Abusive	csebuetnlp/banglabert
88129	Profane	csebuetnlp/banglabert
189525	None	csebuetnlp/banglabert
379097	Abusive	csebuetnlp/banglabert
864667	None	csebuetnlp/banglabert
780940	None	csebuetnlp/banglabert
577465	Abusive	csebuetnlp/banglabert
201744	None	csebuetnlp/banglabert
5641	Abusive	csebuetnlp/banglabert
110529	Political Hate	csebuetnlp/banglabert
732060	None	csebuetnlp/banglabert
899521	None	csebuetnlp/banglabert
217414	Political Hate	csebuetnlp/banglabert
364331	Abusive	csebuetnlp/banglabert
220584	None	csebuetnlp/banglabert
521448	None	csebuetnlp/banglabert
235213	Profane	csebuetnlp/banglabert
288321	Abusive	csebuetnlp/banglabert
444659	None	csebuetnlp/banglabert
288470	Political Hate	csebuetnlp/banglabert
602580	Abusive	csebuetnlp/banglabert
505064	Abusive	csebuetnlp/banglabert
220958	None	csebuetnlp/banglabert
208873	None	csebuetnlp/banglabert
905717	Profane	csebuetnlp/banglabert
753381	None	csebuetnlp/banglabert
189967	Political Hate	csebuetnlp/banglabert
55334	Profane	csebuetnlp/banglabert
585271	None	csebuetnlp/banglabert
284428	Political Hate	csebuetnlp/banglabert
333828	None	csebuetnlp/banglabert
268077	Political Hate	csebuetnlp/banglabert
791784	Political Hate	csebuetnlp/banglabert
29385	None	csebuetnlp/banglabert
721154	None	csebuetnlp/banglabert
53445	None	csebuetnlp/banglabert
849367	None	csebuetnlp/banglabert
776247	None	csebuetnlp/banglabert
194347	Profane	csebuetnlp/banglabert
875084	None	csebuetnlp/banglabert
429185	None	csebuetnlp/banglabert
869559	None	csebuetnlp/banglabert
551711	None	csebuetnlp/banglabert
459530	None	csebuetnlp/banglabert
371844	Abusive	csebuetnlp/banglabert
678759	None	csebuetnlp/banglabert
928871	None	csebuetnlp/banglabert
938337	None	csebuetnlp/banglabert
486005	Abusive	csebuetnlp/banglabert
739268	None	csebuetnlp/banglabert
256855	None	csebuetnlp/banglabert
57158	Abusive	csebuetnlp/banglabert
492274	Abusive	csebuetnlp/banglabert
177187	None	csebuetnlp/banglabert
323380	Profane	csebuetnlp/banglabert
736173	Abusive	csebuetnlp/banglabert
655076	None	csebuetnlp/banglabert
636680	Political Hate	csebuetnlp/banglabert
319075	None	csebuetnlp/banglabert
183674	Political Hate	csebuetnlp/banglabert
556548	Abusive	csebuetnlp/banglabert
268230	None	csebuetnlp/banglabert
732875	None	csebuetnlp/banglabert
212780	Abusive	csebuetnlp/banglabert
915594	None	csebuetnlp/banglabert
187124	Abusive	csebuetnlp/banglabert
376637	Abusive	csebuetnlp/banglabert
237536	None	csebuetnlp/banglabert
727320	Profane	csebuetnlp/banglabert
62305	None	csebuetnlp/banglabert
518275	None	csebuetnlp/banglabert
190205	None	csebuetnlp/banglabert
682947	Political Hate	csebuetnlp/banglabert
843536	None	csebuetnlp/banglabert
298286	Profane	csebuetnlp/banglabert
260368	Profane	csebuetnlp/banglabert
109120	None	csebuetnlp/banglabert
732085	None	csebuetnlp/banglabert
587177	Abusive	csebuetnlp/banglabert
219166	Political Hate	csebuetnlp/banglabert
712397	None	csebuetnlp/banglabert
744608	None	csebuetnlp/banglabert
839392	None	csebuetnlp/banglabert
567799	None	csebuetnlp/banglabert
357344	Abusive	csebuetnlp/banglabert
646789	Political Hate	csebuetnlp/banglabert
144730	None	csebuetnlp/banglabert
606121	None	csebuetnlp/banglabert
663589	None	csebuetnlp/banglabert
175058	None	csebuetnlp/banglabert
602882	Abusive	csebuetnlp/banglabert
865744	None	csebuetnlp/banglabert
15148	None	csebuetnlp/banglabert
714172	Profane	csebuetnlp/banglabert
919656	Profane	csebuetnlp/banglabert
641435	None	csebuetnlp/banglabert
542675	Profane	csebuetnlp/banglabert
97962	Profane	csebuetnlp/banglabert
35543	Abusive	csebuetnlp/banglabert
249438	None	csebuetnlp/banglabert
45817	Abusive	csebuetnlp/banglabert
846205	Abusive	csebuetnlp/banglabert
684720	None	csebuetnlp/banglabert
659930	Profane	csebuetnlp/banglabert
446120	Abusive	csebuetnlp/banglabert
315323	Abusive	csebuetnlp/banglabert
533231	None	csebuetnlp/banglabert
103313	None	csebuetnlp/banglabert
484049	None	csebuetnlp/banglabert
258145	Profane	csebuetnlp/banglabert
255461	None	csebuetnlp/banglabert
582412	Political Hate	csebuetnlp/banglabert
541719	Abusive	csebuetnlp/banglabert
400986	None	csebuetnlp/banglabert
547162	Political Hate	csebuetnlp/banglabert
444235	Abusive	csebuetnlp/banglabert
349790	Political Hate	csebuetnlp/banglabert
1698	None	csebuetnlp/banglabert
733055	None	csebuetnlp/banglabert
358186	None	csebuetnlp/banglabert
272026	None	csebuetnlp/banglabert
843498	None	csebuetnlp/banglabert
903157	Abusive	csebuetnlp/banglabert
869323	None	csebuetnlp/banglabert
314731	Abusive	csebuetnlp/banglabert
923983	Abusive	csebuetnlp/banglabert
467220	None	csebuetnlp/banglabert
203763	Abusive	csebuetnlp/banglabert
254343	Abusive	csebuetnlp/banglabert
753995	None	csebuetnlp/banglabert
577269	None	csebuetnlp/banglabert
140440	None	csebuetnlp/banglabert
327128	Abusive	csebuetnlp/banglabert
742109	None	csebuetnlp/banglabert
339941	None	csebuetnlp/banglabert
648055	None	csebuetnlp/banglabert
271686	None	csebuetnlp/banglabert
167523	Abusive	csebuetnlp/banglabert
565237	Political Hate	csebuetnlp/banglabert
326583	Profane	csebuetnlp/banglabert
521049	None	csebuetnlp/banglabert
635150	None	csebuetnlp/banglabert
667038	None	csebuetnlp/banglabert
533234	None	csebuetnlp/banglabert
49935	Abusive	csebuetnlp/banglabert
132749	None	csebuetnlp/banglabert
526931	None	csebuetnlp/banglabert
120887	None	csebuetnlp/banglabert
148965	Abusive	csebuetnlp/banglabert
785355	Abusive	csebuetnlp/banglabert
904080	None	csebuetnlp/banglabert
242296	Political Hate	csebuetnlp/banglabert
505804	None	csebuetnlp/banglabert
28164	None	csebuetnlp/banglabert
287563	Profane	csebuetnlp/banglabert
866300	None	csebuetnlp/banglabert
846915	None	csebuetnlp/banglabert
363471	Abusive	csebuetnlp/banglabert
376108	Political Hate	csebuetnlp/banglabert
725247	None	csebuetnlp/banglabert
917058	Abusive	csebuetnlp/banglabert
936170	None	csebuetnlp/banglabert
632147	Political Hate	csebuetnlp/banglabert
71795	Profane	csebuetnlp/banglabert
886268	Abusive	csebuetnlp/banglabert
22299	Abusive	csebuetnlp/banglabert
727182	None	csebuetnlp/banglabert
565081	None	csebuetnlp/banglabert
599305	None	csebuetnlp/banglabert
443980	None	csebuetnlp/banglabert
765765	None	csebuetnlp/banglabert
473418	None	csebuetnlp/banglabert
544646	None	csebuetnlp/banglabert
351344	Abusive	csebuetnlp/banglabert
697214	None	csebuetnlp/banglabert
371187	None	csebuetnlp/banglabert
121250	Political Hate	csebuetnlp/banglabert
20874	None	csebuetnlp/banglabert
850266	None	csebuetnlp/banglabert
439950	Abusive	csebuetnlp/banglabert
427668	None	csebuetnlp/banglabert
60444	None	csebuetnlp/banglabert
659301	None	csebuetnlp/banglabert
592983	None	csebuetnlp/banglabert
827694	Abusive	csebuetnlp/banglabert
566134	Profane	csebuetnlp/banglabert
355167	None	csebuetnlp/banglabert
350908	None	csebuetnlp/banglabert
332323	None	csebuetnlp/banglabert
454987	Profane	csebuetnlp/banglabert
170966	None	csebuetnlp/banglabert
56299	Abusive	csebuetnlp/banglabert
53232	Political Hate	csebuetnlp/banglabert
649211	None	csebuetnlp/banglabert
390308	None	csebuetnlp/banglabert
488779	None	csebuetnlp/banglabert
215984	Political Hate	csebuetnlp/banglabert
628026	Abusive	csebuetnlp/banglabert
368087	None	csebuetnlp/banglabert
875776	None	csebuetnlp/banglabert
831832	Political Hate	csebuetnlp/banglabert
569593	Political Hate	csebuetnlp/banglabert
469197	None	csebuetnlp/banglabert
390574	None	csebuetnlp/banglabert
436078	Abusive	csebuetnlp/banglabert
72621	Political Hate	csebuetnlp/banglabert
265323	None	csebuetnlp/banglabert
476101	Profane	csebuetnlp/banglabert
104541	Political Hate	csebuetnlp/banglabert
446025	Abusive	csebuetnlp/banglabert
731432	Abusive	csebuetnlp/banglabert
162796	Abusive	csebuetnlp/banglabert
120013	None	csebuetnlp/banglabert
836767	None	csebuetnlp/banglabert
843079	None	csebuetnlp/banglabert
97007	None	csebuetnlp/banglabert
328435	Political Hate	csebuetnlp/banglabert
779718	Abusive	csebuetnlp/banglabert
419606	None	csebuetnlp/banglabert
920869	Abusive	csebuetnlp/banglabert
664800	Political Hate	csebuetnlp/banglabert
98071	None	csebuetnlp/banglabert
842810	Abusive	csebuetnlp/banglabert
19398	Political Hate	csebuetnlp/banglabert
564701	Abusive	csebuetnlp/banglabert
573270	None	csebuetnlp/banglabert
593127	Political Hate	csebuetnlp/banglabert
102435	None	csebuetnlp/banglabert
256050	None	csebuetnlp/banglabert
81593	None	csebuetnlp/banglabert
632323	None	csebuetnlp/banglabert
825656	None	csebuetnlp/banglabert
566899	None	csebuetnlp/banglabert
510731	None	csebuetnlp/banglabert
384979	None	csebuetnlp/banglabert
144849	None	csebuetnlp/banglabert
79787	Political Hate	csebuetnlp/banglabert
910730	None	csebuetnlp/banglabert
363532	None	csebuetnlp/banglabert
620917	None	csebuetnlp/banglabert
600432	None	csebuetnlp/banglabert
581971	None	csebuetnlp/banglabert
685765	Political Hate	csebuetnlp/banglabert
706846	None	csebuetnlp/banglabert
266829	Profane	csebuetnlp/banglabert
557555	None	csebuetnlp/banglabert
496625	Abusive	csebuetnlp/banglabert
178872	None	csebuetnlp/banglabert
711143	None	csebuetnlp/banglabert
332460	None	csebuetnlp/banglabert
29919	Political Hate	csebuetnlp/banglabert
655611	None	csebuetnlp/banglabert
669537	None	csebuetnlp/banglabert
208251	Profane	csebuetnlp/banglabert
866998	Abusive	csebuetnlp/banglabert
143177	None	csebuetnlp/banglabert
769023	None	csebuetnlp/banglabert
396646	Abusive	csebuetnlp/banglabert
225407	Abusive	csebuetnlp/banglabert
359767	None	csebuetnlp/banglabert
123345	Political Hate	csebuetnlp/banglabert
283543	Abusive	csebuetnlp/banglabert
542107	None	csebuetnlp/banglabert
152502	None	csebuetnlp/banglabert
146539	None	csebuetnlp/banglabert
357373	None	csebuetnlp/banglabert
25777	None	csebuetnlp/banglabert
746972	None	csebuetnlp/banglabert
270762	Abusive	csebuetnlp/banglabert
558844	None	csebuetnlp/banglabert
740225	None	csebuetnlp/banglabert
886666	None	csebuetnlp/banglabert
606932	None	csebuetnlp/banglabert
209217	Political Hate	csebuetnlp/banglabert
777488	Abusive	csebuetnlp/banglabert
130669	Profane	csebuetnlp/banglabert
762285	Political Hate	csebuetnlp/banglabert
685431	Political Hate	csebuetnlp/banglabert
771815	None	csebuetnlp/banglabert
252415	Profane	csebuetnlp/banglabert
687596	None	csebuetnlp/banglabert
242766	Abusive	csebuetnlp/banglabert
447554	None	csebuetnlp/banglabert
427243	Abusive	csebuetnlp/banglabert
140278	None	csebuetnlp/banglabert
401449	None	csebuetnlp/banglabert
765938	Political Hate	csebuetnlp/banglabert
133168	None	csebuetnlp/banglabert
306158	Abusive	csebuetnlp/banglabert
637422	None	csebuetnlp/banglabert
663885	None	csebuetnlp/banglabert
291989	None	csebuetnlp/banglabert
298326	None	csebuetnlp/banglabert
799266	Political Hate	csebuetnlp/banglabert
779258	Political Hate	csebuetnlp/banglabert
546084	None	csebuetnlp/banglabert
781242	None	csebuetnlp/banglabert
602262	None	csebuetnlp/banglabert
773036	None	csebuetnlp/banglabert
377308	None	csebuetnlp/banglabert
142631	Political Hate	csebuetnlp/banglabert
895459	None	csebuetnlp/banglabert
787010	None	csebuetnlp/banglabert
645662	None	csebuetnlp/banglabert
45403	None	csebuetnlp/banglabert
267853	None	csebuetnlp/banglabert
917758	None	csebuetnlp/banglabert
426332	None	csebuetnlp/banglabert
422595	None	csebuetnlp/banglabert
691331	None	csebuetnlp/banglabert
610080	Abusive	csebuetnlp/banglabert
501233	None	csebuetnlp/banglabert
131294	None	csebuetnlp/banglabert
815428	Political Hate	csebuetnlp/banglabert
195149	Abusive	csebuetnlp/banglabert
207721	Political Hate	csebuetnlp/banglabert
416773	None	csebuetnlp/banglabert
313335	Abusive	csebuetnlp/banglabert
329274	None	csebuetnlp/banglabert
508798	Profane	csebuetnlp/banglabert
868978	None	csebuetnlp/banglabert
310124	None	csebuetnlp/banglabert
785154	None	csebuetnlp/banglabert
535201	None	csebuetnlp/banglabert
626322	None	csebuetnlp/banglabert
890167	Profane	csebuetnlp/banglabert
184776	Political Hate	csebuetnlp/banglabert
390461	None	csebuetnlp/banglabert
503090	Abusive	csebuetnlp/banglabert
461035	Abusive	csebuetnlp/banglabert
619709	None	csebuetnlp/banglabert
890283	Abusive	csebuetnlp/banglabert
132888	None	csebuetnlp/banglabert
17079	Abusive	csebuetnlp/banglabert
218300	Political Hate	csebuetnlp/banglabert
345231	None	csebuetnlp/banglabert
285893	None	csebuetnlp/banglabert
632928	None	csebuetnlp/banglabert
479465	None	csebuetnlp/banglabert
2602	Profane	csebuetnlp/banglabert
85641	None	csebuetnlp/banglabert
682701	None	csebuetnlp/banglabert
436258	Political Hate	csebuetnlp/banglabert
114639	None	csebuetnlp/banglabert
674071	Political Hate	csebuetnlp/banglabert
244282	None	csebuetnlp/banglabert
318350	None	csebuetnlp/banglabert
553375	Political Hate	csebuetnlp/banglabert
135830	Abusive	csebuetnlp/banglabert
260169	Political Hate	csebuetnlp/banglabert
553667	None	csebuetnlp/banglabert
183040	Abusive	csebuetnlp/banglabert
680751	Abusive	csebuetnlp/banglabert
274955	Abusive	csebuetnlp/banglabert
370027	None	csebuetnlp/banglabert
121905	None	csebuetnlp/banglabert
440653	None	csebuetnlp/banglabert
732217	Political Hate	csebuetnlp/banglabert
618508	Profane	csebuetnlp/banglabert
90671	None	csebuetnlp/banglabert
322046	None	csebuetnlp/banglabert
843688	Profane	csebuetnlp/banglabert
645379	Profane	csebuetnlp/banglabert
228279	Profane	csebuetnlp/banglabert
26128	Political Hate	csebuetnlp/banglabert
95316	Profane	csebuetnlp/banglabert
161304	None	csebuetnlp/banglabert
770118	None	csebuetnlp/banglabert
219678	Political Hate	csebuetnlp/banglabert
783494	None	csebuetnlp/banglabert
422409	None	csebuetnlp/banglabert
38646	None	csebuetnlp/banglabert
231486	Profane	csebuetnlp/banglabert
443053	None	csebuetnlp/banglabert
97738	Political Hate	csebuetnlp/banglabert
493860	None	csebuetnlp/banglabert
67696	Political Hate	csebuetnlp/banglabert
547919	Abusive	csebuetnlp/banglabert
339308	None	csebuetnlp/banglabert
43011	None	csebuetnlp/banglabert
795119	None	csebuetnlp/banglabert
292726	Political Hate	csebuetnlp/banglabert
180440	None	csebuetnlp/banglabert
198740	Abusive	csebuetnlp/banglabert
773993	None	csebuetnlp/banglabert
190166	Abusive	csebuetnlp/banglabert
201671	Political Hate	csebuetnlp/banglabert
857416	Political Hate	csebuetnlp/banglabert
926290	None	csebuetnlp/banglabert
19835	None	csebuetnlp/banglabert
359775	Abusive	csebuetnlp/banglabert
625911	Abusive	csebuetnlp/banglabert
324644	None	csebuetnlp/banglabert
561231	None	csebuetnlp/banglabert
486277	Abusive	csebuetnlp/banglabert
699555	Abusive	csebuetnlp/banglabert
796009	None	csebuetnlp/banglabert
442802	None	csebuetnlp/banglabert
345862	None	csebuetnlp/banglabert
577567	Abusive	csebuetnlp/banglabert
917536	Abusive	csebuetnlp/banglabert
465219	None	csebuetnlp/banglabert
202537	None	csebuetnlp/banglabert
810678	Abusive	csebuetnlp/banglabert
471847	Profane	csebuetnlp/banglabert
451450	None	csebuetnlp/banglabert
231023	None	csebuetnlp/banglabert
464828	None	csebuetnlp/banglabert
736021	None	csebuetnlp/banglabert
17036	Religious Hate	csebuetnlp/banglabert
676426	None	csebuetnlp/banglabert
351306	None	csebuetnlp/banglabert
628567	None	csebuetnlp/banglabert
495615	None	csebuetnlp/banglabert
248858	Political Hate	csebuetnlp/banglabert
323407	None	csebuetnlp/banglabert
800267	None	csebuetnlp/banglabert
924086	Abusive	csebuetnlp/banglabert
332310	None	csebuetnlp/banglabert
2399	Profane	csebuetnlp/banglabert
642008	Political Hate	csebuetnlp/banglabert
579150	None	csebuetnlp/banglabert
532008	Profane	csebuetnlp/banglabert
920515	Profane	csebuetnlp/banglabert
928170	None	csebuetnlp/banglabert
115600	None	csebuetnlp/banglabert
160611	None	csebuetnlp/banglabert
57343	Political Hate	csebuetnlp/banglabert
233245	Political Hate	csebuetnlp/banglabert
160063	Profane	csebuetnlp/banglabert
215216	Political Hate	csebuetnlp/banglabert
259716	Political Hate	csebuetnlp/banglabert
24649	Political Hate	csebuetnlp/banglabert
236647	None	csebuetnlp/banglabert
890600	Abusive	csebuetnlp/banglabert
818229	None	csebuetnlp/banglabert
181400	Political Hate	csebuetnlp/banglabert
184128	None	csebuetnlp/banglabert
732571	Political Hate	csebuetnlp/banglabert
803103	Profane	csebuetnlp/banglabert
103559	Abusive	csebuetnlp/banglabert
104069	Abusive	csebuetnlp/banglabert
532685	None	csebuetnlp/banglabert
860196	None	csebuetnlp/banglabert
207034	None	csebuetnlp/banglabert
852222	Abusive	csebuetnlp/banglabert
620269	None	csebuetnlp/banglabert
214987	Political Hate	csebuetnlp/banglabert
390209	Profane	csebuetnlp/banglabert
828144	Political Hate	csebuetnlp/banglabert
355435	None	csebuetnlp/banglabert
280909	None	csebuetnlp/banglabert
648822	None	csebuetnlp/banglabert
469956	None	csebuetnlp/banglabert
491045	Profane	csebuetnlp/banglabert
853713	None	csebuetnlp/banglabert
759980	None	csebuetnlp/banglabert
569003	Political Hate	csebuetnlp/banglabert
803693	Religious Hate	csebuetnlp/banglabert
481481	None	csebuetnlp/banglabert
853785	Abusive	csebuetnlp/banglabert
451339	Abusive	csebuetnlp/banglabert
434603	Profane	csebuetnlp/banglabert
776243	Abusive	csebuetnlp/banglabert
857738	None	csebuetnlp/banglabert
657731	None	csebuetnlp/banglabert
309549	None	csebuetnlp/banglabert
935003	None	csebuetnlp/banglabert
837370	Abusive	csebuetnlp/banglabert
832799	Political Hate	csebuetnlp/banglabert
333504	Profane	csebuetnlp/banglabert
455676	None	csebuetnlp/banglabert
686341	None	csebuetnlp/banglabert
833132	Profane	csebuetnlp/banglabert
829417	None	csebuetnlp/banglabert
173721	Abusive	csebuetnlp/banglabert
179807	None	csebuetnlp/banglabert
172129	Abusive	csebuetnlp/banglabert
309949	Abusive	csebuetnlp/banglabert
868955	None	csebuetnlp/banglabert
649693	None	csebuetnlp/banglabert
90477	Profane	csebuetnlp/banglabert
150665	None	csebuetnlp/banglabert
539518	None	csebuetnlp/banglabert
6441	Political Hate	csebuetnlp/banglabert
316408	Abusive	csebuetnlp/banglabert
673952	None	csebuetnlp/banglabert
51761	None	csebuetnlp/banglabert
754177	None	csebuetnlp/banglabert
931338	None	csebuetnlp/banglabert
522610	None	csebuetnlp/banglabert
27947	None	csebuetnlp/banglabert
653841	Religious Hate	csebuetnlp/banglabert
40916	None	csebuetnlp/banglabert
446133	None	csebuetnlp/banglabert
841967	None	csebuetnlp/banglabert
609657	None	csebuetnlp/banglabert
739084	None	csebuetnlp/banglabert
351764	None	csebuetnlp/banglabert
259184	None	csebuetnlp/banglabert
393117	Religious Hate	csebuetnlp/banglabert
328240	Abusive	csebuetnlp/banglabert
468435	Abusive	csebuetnlp/banglabert
541450	None	csebuetnlp/banglabert
723785	None	csebuetnlp/banglabert
276566	None	csebuetnlp/banglabert
606464	None	csebuetnlp/banglabert
126449	None	csebuetnlp/banglabert
75097	Political Hate	csebuetnlp/banglabert
191972	Profane	csebuetnlp/banglabert
837237	Abusive	csebuetnlp/banglabert
400643	Political Hate	csebuetnlp/banglabert
418393	Political Hate	csebuetnlp/banglabert
910685	None	csebuetnlp/banglabert
617275	Abusive	csebuetnlp/banglabert
494945	None	csebuetnlp/banglabert
318209	Profane	csebuetnlp/banglabert
696250	None	csebuetnlp/banglabert
360014	None	csebuetnlp/banglabert
578712	Political Hate	csebuetnlp/banglabert
127383	None	csebuetnlp/banglabert
452100	Abusive	csebuetnlp/banglabert
936774	Abusive	csebuetnlp/banglabert
81295	Political Hate	csebuetnlp/banglabert
312562	None	csebuetnlp/banglabert
114169	None	csebuetnlp/banglabert
758394	None	csebuetnlp/banglabert
819133	Political Hate	csebuetnlp/banglabert
427526	None	csebuetnlp/banglabert
200459	Political Hate	csebuetnlp/banglabert
716131	None	csebuetnlp/banglabert
416788	Abusive	csebuetnlp/banglabert
444300	Profane	csebuetnlp/banglabert
274190	None	csebuetnlp/banglabert
692604	None	csebuetnlp/banglabert
297287	None	csebuetnlp/banglabert
569220	Political Hate	csebuetnlp/banglabert
464993	Abusive	csebuetnlp/banglabert
219503	Political Hate	csebuetnlp/banglabert
603542	None	csebuetnlp/banglabert
910996	None	csebuetnlp/banglabert
733681	None	csebuetnlp/banglabert
682912	Abusive	csebuetnlp/banglabert
79179	Political Hate	csebuetnlp/banglabert
185878	Political Hate	csebuetnlp/banglabert
429794	Abusive	csebuetnlp/banglabert
37514	Abusive	csebuetnlp/banglabert
677951	None	csebuetnlp/banglabert
606638	None	csebuetnlp/banglabert
667790	Political Hate	csebuetnlp/banglabert
404077	None	csebuetnlp/banglabert
664870	Political Hate	csebuetnlp/banglabert
82089	Abusive	csebuetnlp/banglabert
506355	Political Hate	csebuetnlp/banglabert
542327	None	csebuetnlp/banglabert
691922	None	csebuetnlp/banglabert
640273	Abusive	csebuetnlp/banglabert
320130	None	csebuetnlp/banglabert
367958	None	csebuetnlp/banglabert
243866	None	csebuetnlp/banglabert
